ts,station,kn,rafale,dir
202609241800,BOU,5.8,7.4,270
202609241800,GVE,2.5,3.7,35
202609241800,CHB,1.9,3.5,267
202609241800,CGI,2.5,4.5,348
202609241800,PRE,5.1,7.8,61
202609242300,BOU,4.1,5.1,153
202609242300,GVE,2.3,3.5,241
202609242300,CHB,1.3,2.7,267
202609242300,CGI,6.0,7.8,346
202609242300,PRE,12.3,16.3,6
202609250400,BOU,2.9,3.7,150
202609250400,GVE,1.3,1.9,294
202609250400,CHB,1.6,2.9,291
202609250400,CGI,3.1,3.9,296
202609250400,PRE,10.3,13.2,6
202609251100,BOU,4.5,5.8,309
202609251100,GVE,5.5,8.5,64
202609251100,CHB,7.6,9.5,55
202609251100,CGI,4.3,7.6,95
202609251100,PRE,5.1,6.8,140
