emission,spot,station,echeance,lead_h,prevu_kn,mesure_kn,erreur_kn
202609030500,cologny,GVE,202609030500,0.0,1.7,2.2,-0.5
202609030500,reposoir,GVE,202609030500,0.0,1.8,2.2,-0.4
202609030500,vengeron,GVE,202609030500,0.0,1.8,2.2,-0.4
202609030500,coppet,CGI,202609030500,0.0,2.8,1.6,1.2
202609030500,nyon,CGI,202609030500,0.0,1.6,1.6,0.0
202609030500,preverenges,PRE,202609030500,0.0,3.2,3.7,-0.5
202609030500,bouveret,BOU,202609030500,0.0,2.5,5.5,-3.0
202609030500,joux,CHB,202609030500,0.0,1.9,1.7,0.2
202609030500,cologny,GVE,202609031000,5.0,1.9,3.3,-1.4
202609030500,reposoir,GVE,202609031000,5.0,2.7,3.3,-0.6
202609030500,vengeron,GVE,202609031000,5.0,2.7,3.3,-0.6
202609030500,coppet,CGI,202609031000,5.0,2.8,2.3,0.5
202609030500,nyon,CGI,202609031000,5.0,3.4,2.3,1.1
202609030500,preverenges,PRE,202609031000,5.0,3.3,3.3,0.0
202609030500,bouveret,BOU,202609031000,5.0,4.5,3.9,0.6
202609030500,joux,CHB,202609031000,5.0,3.5,3.1,0.4
202609030500,cologny,GVE,202609031400,9.0,3.1,4.1,-1.0
202609030500,reposoir,GVE,202609031400,9.0,3.0,4.1,-1.1
202609030500,vengeron,GVE,202609031400,9.0,3.0,4.1,-1.1
202609030500,coppet,CGI,202609031400,9.0,3.6,2.9,0.7
202609030500,nyon,CGI,202609031400,9.0,3.8,2.9,0.9
202609030500,preverenges,PRE,202609031400,9.0,3.1,2.7,0.4
202609030500,bouveret,BOU,202609031400,9.0,3.1,2.3,0.8
202609030500,joux,CHB,202609031400,9.0,3.6,1.7,1.9
202609030500,cologny,GVE,202609031800,13.0,3.1,2.7,0.4
202609030500,reposoir,GVE,202609031800,13.0,3.2,2.7,0.5
202609030500,vengeron,GVE,202609031800,13.0,3.2,2.7,0.5
202609030500,coppet,CGI,202609031800,13.0,2.5,6.8,-4.3
202609030500,nyon,CGI,202609031800,13.0,3.5,6.8,-3.3
202609030500,preverenges,PRE,202609031800,13.0,2.0,2.2,-0.2
202609030500,bouveret,BOU,202609031800,13.0,2.7,2.9,-0.2
202609030500,joux,CHB,202609031800,13.0,2.2,4.5,-2.3
202609030500,cologny,GVE,202609032100,16.0,2.8,1.3,1.5
202609030500,reposoir,GVE,202609032100,16.0,1.7,1.3,0.4
202609030500,vengeron,GVE,202609032100,16.0,1.7,1.3,0.4
202609030500,coppet,CGI,202609032100,16.0,2.1,3.9,-1.8
202609030500,nyon,CGI,202609032100,16.0,2.5,3.9,-1.4
202609030500,preverenges,PRE,202609032100,16.0,2.9,3.1,-0.2
202609030500,bouveret,BOU,202609032100,16.0,2.2,3.1,-0.9
202609030500,joux,CHB,202609032100,16.0,2.2,2.3,-0.1
202609030500,cologny,GVE,202609040000,19.0,2.1,1.7,0.4
202609030500,reposoir,GVE,202609040000,19.0,1.7,1.7,-0.0
202609030500,vengeron,GVE,202609040000,19.0,1.7,1.7,-0.0
202609030500,coppet,CGI,202609040000,19.0,1.7,1.6,0.1
202609030500,nyon,CGI,202609040000,19.0,2.2,1.6,0.6
202609030500,preverenges,PRE,202609040000,19.0,2.7,5.2,-2.5
202609030500,bouveret,BOU,202609040000,19.0,2.2,5.6,-3.4
202609030500,joux,CHB,202609040000,19.0,2.1,1.6,0.5
